-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.337
-183.800, 80.201, -0.008,  0.387
-183.800, 80.201, 0.003,  0.436
-183.800, 80.201, -0.001,  0.684
-183.800, 80.200, 0.010,  0.734
-183.800, 80.196, 0.101,  0.781
-183.799, 80.187, 0.215,  1.037
-183.796, 80.150, 0.446,  1.083
-183.794, 80.123, 0.665,  1.128
-183.791, 80.085, 0.903,  1.421
-183.781, 79.961, 1.450,  1.469
-183.775, 79.881, 1.729,  1.518
-183.768, 79.788, 1.988,  1.760
-183.751, 79.560, 2.458,  1.809
-183.741, 79.432, 2.660,  2.062
-183.718, 79.151, 2.918,  2.147
-183.698, 78.904, 2.938,  2.503
-183.674, 78.622, 2.793,  2.552
-183.662, 78.491, 2.692,  2.798
-183.640, 78.239, 2.461,  2.848
-183.629, 78.122, 2.343,  3.128
-183.609, 77.905, 2.111,  3.185
-183.598, 77.791, 1.985,  3.414
-183.580, 77.610, 1.728,  3.479
-183.570, 77.504, 1.611,  3.730
-183.554, 77.351, 1.486,  3.782
-183.547, 77.274, 1.476,  4.013
-183.532, 77.127, 1.460,  4.099
-183.518, 76.996, 1.575,  4.359
-183.501, 76.829, 1.737,  4.412
-183.491, 76.730, 1.902,  4.644
-183.471, 76.526, 2.121,  4.693
-183.460, 76.419, 2.184,  4.743
-183.449, 76.311, 2.210,  4.967
-183.428, 76.093, 2.169,  5.020
-183.417, 75.981, 2.125,  5.252
-183.397, 75.776, 2.038,  5.305
-183.386, 75.669, 2.006,  5.542
-183.367, 75.472, 1.968,  5.596
-183.357, 75.366, 1.981,  5.820
-183.337, 75.167, 2.003,  5.868
-183.328, 75.070, 2.024,  5.918
-183.318, 74.969, 2.047,  6.170
-183.299, 74.762, 2.093,  6.219
-183.289, 74.658, 2.115,  6.269
-183.279, 74.552, 2.133,  6.520
-183.259, 74.339, 2.155,  6.574
-183.249, 74.223, 2.173,  6.820
-183.229, 74.006, 2.177,  6.870
-183.219, 73.896, 2.181,  6.919
-183.209, 73.789, 2.185,  7.172
-183.190, 73.572, 2.181,  7.226
